"Nome da Conta","Company","Parent Account","Account Number","Account Type","É grupo","Root Type"
"Cosméticos","DM-CASA","Cuidados Pessoais","5264","Expense Account",0,"Expense"
"Manicure/Pedicure","DM-CASA","Cuidados Pessoais","5265","Expense Account",0,"Expense"
"Produtos de Limpeza","DM-CASA","Casa e Manutenção","5271","Expense Account",0,"Expense"
"Utensílios Domésticos","DM-CASA","Casa e Manutenção","5272","Expense Account",0,"Expense"
"Reparos e Manutenção","DM-CASA","Casa e Manutenção","5273","Expense Account",0,"Expense"
"Decoração","DM-CASA","Casa e Manutenção","5274","Expense Account",0,"Expense"
"Jardinagem","DM-CASA","Casa e Manutenção","5275","Expense Account",0,"Expense"
"Cinema","DM-CASA","Cultura","5311","Expense Account",0,"Expense"
"Teatro","DM-CASA","Cultura","5312","Expense Account",0,"Expense"
"Shows e Eventos","DM-CASA","Cultura","5313","Expense Account",0,"Expense"
"Museus","DM-CASA","Cultura","5314","Expense Account",0,"Expense"
"Esportes","DM-CASA","Hobbies","5321","Expense Account",0,"Expense"
"Jogos","DM-CASA","Hobbies","5322","Expense Account",0,"Expense"
"Fotografia","DM-CASA","Hobbies","5323","Expense Account",0,"Expense"
"Colecionáveis","DM-CASA","Hobbies","5324","Expense Account",0,"Expense"
"Passagens","DM-CASA","Viagens","5331","Expense Account",0,"Expense"
"Hospedagem","DM-CASA","Viagens","5332","Expense Account",0,"Expense"
"Alimentação em Viagem","DM-CASA","Viagens","5333","Expense Account",0,"Expense"
"Passeios e Tours","DM-CASA","Viagens","5334","Expense Account",0,"Expense"
"Compras em Viagem","DM-CASA","Viagens","5335","Expense Account",0,"Expense"
"Streaming de Vídeo","DM-CASA","Assinaturas e Serviços","5341","Expense Account",0,"Expense"
"Streaming de Música","DM-CASA","Assinaturas e Serviços","5342","Expense Account",0,"Expense"
"Revistas e Jornais","DM-CASA","Assinaturas e Serviços","5343","Expense Account",0,"Expense"
"Aplicativos","DM-CASA","Assinaturas e Serviços","5344","Expense Account",0,"Expense"
"Cloud Storage","DM-CASA","Assinaturas e Serviços","5345","Expense Account",0,"Expense"
"Juros de Cartão de Crédito","DM-CASA","Juros e Encargos","5411","Expense Account",0,"Expense"
"Juros de Empréstimos","DM-CASA","Juros e Encargos","5412","Expense Account",0,"Expense"
"Juros de Cheque Especial","DM-CASA","Juros e Encargos","5413","Expense Account",0,"Expense"
"Multas e Juros de Atraso","DM-CASA","Juros e Encargos","5414","Expense Account",0,"Expense"
"Tarifa de Manutenção de Conta","DM-CASA","Tarifas Bancárias","5421","Expense Account",0,"Expense"
"Tarifa de Transferência","DM-CASA","Tarifas Bancárias","5422","Expense Account",0,"Expense"
"Tarifa de Cartão","DM-CASA","Tarifas Bancárias","5423","Expense Account",0,"Expense"
"Tarifa de DOC/TED","DM-CASA","Tarifas Bancárias","5424","Expense Account",0,"Expense"
"IOF","DM-CASA","Impostos e Taxas","5431","Expense Account",0,"Expense"
"Imposto de Renda","DM-CASA","Impostos e Taxas","5432","Expense Account",0,"Expense"
"Outras Taxas","DM-CASA","Impostos e Taxas","5433","Expense Account",0,"Expense"
"Presentes","DM-CASA","Presentes e Doações","5511","Expense Account",0,"Expense"
"Doações","DM-CASA","Presentes e Doações","5512","Expense Account",0,"Expense"
"Festas e Eventos","DM-CASA","Presentes e Doações","5513","Expense Account",0,"Expense"
"Ração e Alimentação","DM-CASA","Animais de Estimação","5521","Expense Account",0,"Expense"
"Veterinário","DM-CASA","Animais de Estimação","5522","Expense Account",0,"Expense"
"Produtos de Higiene Pet","DM-CASA","Animais de Estimação","5523","Expense Account",0,"Expense"
"Acessórios e Brinquedos","DM-CASA","Animais de Estimação","5524","Expense Account",0,"Expense"
"Babá","DM-CASA","Crianças","5531","Expense Account",0,"Expense"
"Fraldas e Higiene Infantil","DM-CASA","Crianças","5532","Expense Account",0,"Expense"
"Brinquedos","DM-CASA","Crianças","5533","Expense Account",0,"Expense"
"Atividades Extracurriculares","DM-CASA","Crianças","5534","Expense Account",0,"Expense"
"Contador","DM-CASA","Profissionais e Serviços","5541","Expense Account",0,"Expense"
"Advogado","DM-CASA","Profissionais e Serviços","5542","Expense Account",0,"Expense"
"Diarista","DM-CASA","Profissionais e Serviços","5543","Expense Account",0,"Expense"
"Despesas Eventuais","DM-CASA","Outras Despesas","5550","Expense Account",0,"Expense"
